Name,Level,IconSWF,IconExportName,TID,InfoTID,Deprecated,AllowedCharacters,Rarity,Claimable,DiamondValue,RequiredBlacksmithLevel,RequiredCharacterLevel,UpgradeResources,UpgradeCosts,MainAbilities,MainAbilityLevels,ExtraAbilities,ExtraAbilityLevels,Speed,HitPoints,AttackRange,AttackSpeedPercentage,DPS,PreviewScenario,HealOnActivation,StrengthWeight
,17,,,,,,,,,,7,,CommonOre; RareOre,2700;600,,6,,,,469,,,68,,,2100
,18,,,,,,,,,,7,,,,,7,,,,485,,,73,,,2600
Seeking Shield,1,sc/ui.sc,icon_gear_RC_SeekingShield,TID_GEAR_TITLE_SEEKING_SHIELD,TID_GEAR_INFO_SEEKING_SHIELD,,Warrior Princess;,Common,,,1,1,CommonOre,120,RoyalChampionShieldBounce,1,,,,40,,,,GearSeekingShield,,100
,2,,,,,,,,,,1,,CommonOre; RareOre,240;20,,1,,,,60,,,,,,200
,3,,,,,,,,,,1,,CommonOre,400,,2,,,,80,,,,,,300
,4,,,,,,,,,,1,,CommonOre,600,,2,,,,100,,,,,,400
,5,,,,,,,,,,1,,CommonOre; RareOre,840;100,,2,,,,120,,,,,,500
,6,,,,,,,,,,1,,CommonOre,1120,,3,,,,140,,,,,,600
,7,,,,,,,,,,1,,CommonOre,1440,,3,,,,160,,,,,,700
,8,,,,,,,,,,1,,CommonOre; RareOre,1800;200,,3,,,,180,,,,,,800
,9,,,,,,,,,,1,,CommonOre,1900,,4,,,,200,,,,,,900
,10,,,,,,,,,,3,,CommonOre,2000,,4,,,,220,,,,,,1000
,11,,,,,,,,,,3,,CommonOre; RareOre,2100;400,,4,,,,240,,,,,,1100
,12,,,,,,,,,,3,,CommonOre,2200,,5,,,,260,,,,,,1200
,13,,,,,,,,,,5,,CommonOre,2300,,5,,,,280,,,,,,1300
,14,,,,,,,,,,5,,CommonOre; RareOre,2400;600,,5,,,,300,,,,,,1400
,15,,,,,,,,,,5,,CommonOre,2500,,6,,,,320,,,,,,1900
,16,,,,,,,,,,7,,CommonOre,2600,,6,,,,340,,,,,,2000
,17,,,,,,,,,,7,,CommonOre; RareOre,2700;600,,6,,,,360,,,,,,2100
,18,,,,,,,,,,7,,,,,7,,,,380,,,,,,2600
Protective Cloak,1,sc/ui.sc,icon_gear_RC_LifeGem,TID_GEAR_PROTECTIVE_CLOAK,TID_GEAR_INFO_PROTECTIVE_CLOAK,,Warrior Princess;,Common,,,1,1,CommonOre,120,RCProtectiveCloak,1,,,,60,,,35,GearProtective,,100
,2,,,,,,,,,,1,,CommonOre; RareOre,240;20,,1,,,,90,,,40,,,200
,3,,,,,,,,,,1,,CommonOre,400,,2,,,,120,,,45,,,300
,4,,,,,,,,,,1,,CommonOre,600,,2,,,,150,,,50,,,400
,5,,,,,,,,,,1,,CommonOre; RareOre,840;100,,2,,,,180,,,55,,,500
,6,,,,,,,,,,1,,CommonOre,1120,,3,,,,210,,,60,,,600
,7,,,,,,,,,,1,,CommonOre,1440,,3,,,,240,,,65,,,700
,8,,,,,,,,,,1,,CommonOre; RareOre,1800;200,,3,,,,270,,,70,,,800
,9,,,,,,,,,,1,,CommonOre,1900,,4,,,,300,,,75,,,900
,10,,,,,,,,,,3,,CommonOre,2000,,4,,,,330,,,80,,,1000
,11,,,,,,,,,,3,,CommonOre; RareOre,2100;400,,4,,,,360,,,85,,,1100
,12,,,,,,,,,,3,,CommonOre,2200,,5,,,,390,,,90,,,1200
,13,,,,,,,,,,5,,CommonOre,2300,,5,,,,420,,,95,,,1300
,14,,,,,,,,,,5,,CommonOre; RareOre,2400;600,,5,,,,450,,,100,,,1400
,15,,,,,,,,,,5,,CommonOre,2500,,6,,,,480,,,105,,,1900
,16,,,,,,,,,,7,,CommonOre,2600,,6,,,,510,,,110,,,2000
,17,,,,,,,,,,7,,CommonOre; RareOre,2700;600,,6,,,,540,,,115,,,2100
,18,,,,,,,,,,7,,,,,7,,,,570,,,120,,,2600
Earthquake Boots,1,sc/ui.sc,icon_gear_BK_StompBoots,TID_GEAR_EARTHQUAKE_BOOTS,TID_GEAR_INFO_EARTHQUAKE_BOOTS,,Barbarian King;,Common,,,1,1,CommonOre,120,BarbarianKingEarthquakeBoots,1,,,,209,,,13,GearEQboots,,100
,2,,,,,,,,,,1,,CommonOre; RareOre,240;20,,1,,,,244,,,15,,,200
,3,,,,,,,,,,1,,CommonOre,400,,2,,,,278,,,17,,,300
,4,,,,,,,,,,1,,CommonOre,600,,2,,,,313,,,19,,,400
,5,,,,,,,,,,1,,CommonOre; RareOre,840;100,,2,,,,348,,,21,,,500
,6,,,,,,,,,,1,,CommonOre,1120,,3,,,,383,,,23,,,600
,7,,,,,,,,,,1,,CommonOre,1440,,3,,,,418,,,26,,,700
,8,,,,,,,,,,1,,CommonOre; RareOre,1800;200,,3,,,,452,,,28,,,800
,9,,,,,,,,,,1,,CommonOre,1900,,4,,,,522,,,32,,,900
,10,,,,,,,,,,3,,CommonOre,2000,,4,,,,677,,,40,,,1000
,11,,,,,,,,,,3,,CommonOre; RareOre,2100;400,,4,,,,831,,,48,,,1100
,12,,,,,,,,,,3,,CommonOre,2200,,5,,,,986,,,55,,,1200
,13,,,,,,,,,,5,,CommonOre,2300,,5,,,,1200,,,63,,,1300
,14,,,,,,,,,,5,,CommonOre; RareOre,2400;600,,5,,,,1500,,,71,,,1400
,15,,,,,,,,,,5,,CommonOre,2500,,6,,,,1800,,,79,,,1900
,16,,,,,,,,,,7,,CommonOre,2600,,6,,,,2100,,,86,,,2000
,17,,,,,,,,,,7,,CommonOre; RareOre,2700;600,,6,,,,2300,,,94,,,2100
,18,,,,,,,,,,7,,,,,7,,,,2500,,,102,,,2600
Hog Rider Puppet,1,sc/ui.sc,icon_gear_RC_HogRiderDoll,TID_GEAR_HOG_TOTEM,TID_GEAR_INFO_HOG_TOTEM,,Warrior Princess;,Common,,,7,1,CommonOre,120,RCEquipSpawnHogs,1,,,,60,,,,GearHogRiderPuppet,180,100
,2,,,,,,,,,,7,,CommonOre; RareOre,240;20,,1,,,,90,,,,,220,200
,3,,,,,,,,,,7,,CommonOre,400,,2,,,,120,,,,,270,300
,4,,,,,,,,,,7,,CommonOre,600,,2,,,,150,,,,,320,400
,5,,,,,,,,,,7,,CommonOre; RareOre,840;100,,2,,,,180,,,,,370,500
,6,,,,,,,,,,7,,CommonOre,1120,,3,,,,210,,,,,420,600
,7,,,,,,,,,,7,,CommonOre,1440,,3,,,,240,,,,,470,700
,8,,,,,,,,,,7,,CommonOre; RareOre,1800;200,,3,,,,270,,,,,520,800
,9,,,,,,,,,,7,,CommonOre,1900,,4,,,,300,,,,,560,900
,10,,,,,,,,,,7,,CommonOre,2000,,4,,,,330,,,,,610,1000
,11,,,,,,,,,,7,,CommonOre; RareOre,2100;400,,4,,,,360,,,,,660,1100
,12,,,,,,,,,,7,,CommonOre,2200,,5,,,,390,,,,,700,1200
,13,,,,,,,,,,7,,CommonOre,2300,,5,,,,420,,,,,750,1300
,14,,,,,,,,,,7,,CommonOre; RareOre,2400;600,,5,,,,450,,,,,800,1400
,15,,,,,,,,,,7,,CommonOre,2500,,6,,,,480,,,,,850,1900
,16,,,,,,,,,,7,,CommonOre,2600,,6,,,,510,,,,,900,2000
,17,,,,,,,,,,7,,CommonOre; RareOre,2700;600,,6,,,,540,,,,,950,2100
,18,,,,,,,,,,7,,,,,7,,,,570,,,,,1000,2600
Giant Gauntlet,1,sc/ui.sc,icon_gear_BK_GiantGauntlet,TID_GEAR_GIANT_GAUNTLET,TID_GEAR_INFO_GIANT_GAUNTLET,,Barbarian King;,Epic,TRUE,,1,1,CommonOre,120,BarbarianKingGetsBig,1,Regeneration,1,,,,,17,GearGauntlet,,100
,2,,,,,,,,,,1,,CommonOre; RareOre,240;20,,1,,2,,,,,20,,,200
,3,,,,,,,,,,1,,CommonOre,400,,2,,3,,,,,23,,,300
,4,,,,,,,,,,1,,CommonOre,600,,2,,4,,,,,26,,,400
,5,,,,,,,,,,1,,CommonOre; RareOre,840;100,,2,,5,,,,,29,,,500
,6,,,,,,,,,,1,,CommonOre,1120,,3,,6,,,,,32,,,600
,7,,,,,,,,,,1,,CommonOre,1440,,3,,7,,,,,34,,,700
,8,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,1800;200;10,,3,,8,,,,,37,,,800
,9,,,,,,,,,,1,,CommonOre,1900,,4,,9,,,,,43,,,900
,10,,,,,,,,,,1,,CommonOre,2000,,4,,10,,,,,53,,,1000
,11,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,2100;400;20,,4,,11,,,,,63,,,1100
,12,,,,,,,,,,1,,CommonOre,2200,,5,,12,,,,,74,,,1200
,13,,,,,,,,,,3,,CommonOre,2300,,5,,13,,,,,84,,,1300
,14,,,,,,,,,,3,,CommonOre; RareOre; EpicOre,2400;600;30,,5,,14,,,,,94,,,1400
,15,,,,,,,,,,3,,CommonOre,2500,,6,,15,,,,,104,,,1900
,16,,,,,,,,,,5,,CommonOre,2600,,6,,16,,,,,115,,,2000
,17,,,,,,,,,,5,,CommonOre; RareOre; EpicOre,2700;600;50,,6,,17,,,,,125,,,2100
,18,,,,,,,,,,5,,CommonOre,2800,,7,,18,,,,,135,,,2600
,19,,,,,,,,,,7,,CommonOre,2900,,7,,19,,,,,137,,,2700
,20,,,,,,,,,,7,,CommonOre; RareOre; EpicOre,3000;600;100,,7,,20,,,,,140,,,2800
,21,,,,,,,,,,7,,CommonOre,3100,,8,,21,,,,,142,,,3300
,22,,,,,,,,,,8,,CommonOre,3200,,8,,22,,,,,145,,,3400
,23,,,,,,,,,,8,,CommonOre; RareOre; EpicOre,3300;600;120,,8,,23,,,,,147,,,3500
,24,,,,,,,,,,8,,CommonOre,3400,,9,,24,,,,,150,,,4000
,25,,,,,,,,,,9,,CommonOre,3500,,9,,25,,,,,152,,,4100
,26,,,,,,,,,,9,,CommonOre; RareOre; EpicOre,3600;600;150,,9,,26,,,,,155,,,4200
,27,,,,,,,,,,9,,,,,10,,27,,,,,160,,,4700
Vampstache,1,sc/ui.sc,icon_gear_BK_VampStache,TID_GEAR_VAMPSTACHE,TID_GEAR_INFO_VAMPSTACHE,,Barbarian King;,Common,,,3,1,CommonOre,120,BarbarianKingVampstache,1,,,,,,5,10,GearVampstache,,100
,2,,,,,,,,,,3,,CommonOre; RareOre,240;20,,1,,,,,,6,15,,,200
,3,,,,,,,,,,3,,CommonOre,400,,2,,,,,,7,20,,,300
,4,,,,,,,,,,3,,CommonOre,600,,2,,,,,,8,25,,,400
,5,,,,,,,,,,3,,CommonOre; RareOre,840;100,,2,,,,,,9,30,,,500
,6,,,,,,,,,,3,,CommonOre,1120,,3,,,,,,10,40,,,600
,7,,,,,,,,,,3,,CommonOre,1440,,3,,,,,,11,45,,,700
,8,,,,,,,,,,3,,CommonOre; RareOre,1800;200,,3,,,,,,12,50,,,800
,9,,,,,,,,,,3,,CommonOre,1900,,4,,,,,,13,60,,,900
,10,,,,,,,,,,3,,CommonOre,2000,,4,,,,,,14,65,,,1000
,11,,,,,,,,,,3,,CommonOre; RareOre,2100;400,,4,,,,,,15,70,,,1100
,12,,,,,,,,,,3,,CommonOre,2200,,5,,,,,,16,80,,,1200
,13,,,,,,,,,,5,,CommonOre,2300,,5,,,,,,17,85,,,1300
,14,,,,,,,,,,5,,CommonOre; RareOre,2400;600,,5,,,,,,18,90,,,1400
,15,,,,,,,,,,5,,CommonOre,2500,,6,,,,,,19,100,,,1900
,16,,,,,,,,,,7,,CommonOre,2600,,6,,,,,,20,105,,,2000
,17,,,,,,,,,,7,,CommonOre; RareOre,2700;600,,6,,,,,,21,110,,,2100
,18,,,,,,,,,,7,,,,,7,,,,,,22,120,,,2600
Haste Vial,1,sc/ui.sc,icon_gear_RC_HasteVial,TID_GEAR_TITLE_HASTE_VIAL,TID_GEAR_INFO_HASTE_VIAL,,Warrior Princess;,Common,,,8,1,CommonOre,120,RoyalChampionHaste,1,,,,,,5,20,GearHasteVial,,100
,2,,,,,,,,,,8,,CommonOre; RareOre,240;20,,1,,,,,,6,24,,,200
,3,,,,,,,,,,8,,CommonOre,400,,2,,,,,,6,28,,,300
,4,,,,,,,,,,8,,CommonOre,600,,2,,,,,,7,32,,,400
,5,,,,,,,,,,8,,CommonOre; RareOre,840;100,,2,,,,,,8,36,,,500
,6,,,,,,,,,,8,,CommonOre,1120,,3,,,,,,8,40,,,600
,7,,,,,,,,,,8,,CommonOre,1440,,3,,,,,,9,44,,,700
,8,,,,,,,,,,8,,CommonOre; RareOre,1800;200,,3,,,,,,10,48,,,800
,9,,,,,,,,,,8,,CommonOre,1900,,4,,,,,,10,52,,,900
,10,,,,,,,,,,8,,CommonOre,2000,,4,,,,,,11,56,,,1000
,11,,,,,,,,,,8,,CommonOre; RareOre,2100;400,,4,,,,,,12,60,,,1100
,12,,,,,,,,,,8,,CommonOre,2200,,5,,,,,,12,64,,,1200
,13,,,,,,,,,,8,,CommonOre,2300,,5,,,,,,13,68,,,1300
,14,,,,,,,,,,8,,CommonOre; RareOre,2400;600,,5,,,,,,14,72,,,1400
,15,,,,,,,,,,8,,CommonOre,2500,,6,,,,,,14,76,,,1900
,16,,,,,,,,,,8,,CommonOre,2600,,6,,,,,,15,80,,,2000
,17,,,,,,,,,,8,,CommonOre; RareOre,2700;600,,6,,,,,,16,84,,,2100
,18,,,,,,,,,,8,,,,,7,,,,,,16,88,,,2600
Rocket Spear,1,sc/ui.sc,icon_gear_RC_RocketSpear,TID_GEAR_ROCKET_SPEAR,TID_GEAR_INFO_ROCKET_SPEAR,,Warrior Princess;,Epic,TRUE,,1,1,CommonOre,120,RocketSpears,1,,,,50,,,35,GearRocketSpears,,100
,2,,,,,,,,,,1,,CommonOre; RareOre,240;20,,1,,,,75,,,40,,,200
,3,,,,,,,,,,1,,CommonOre,400,,2,,,,100,,,45,,,300
,4,,,,,,,,,,1,,CommonOre,600,,2,,,,125,,,50,,,400
,5,,,,,,,,,,1,,CommonOre; RareOre,840;100,,2,,,,150,,,55,,,500
,6,,,,,,,,,,1,,CommonOre,1120,,3,,,,175,,,60,,,600
,7,,,,,,,,,,1,,CommonOre,1440,,3,,,,200,,,66,,,700
,8,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,1800;200;10,,3,,,,225,,,72,,,800
,9,,,,,,,,,,1,,CommonOre,1900,,4,,,,250,,,78,,,900
,10,,,,,,,,,,1,,CommonOre,2000,,4,,,,275,,,85,,,1000
,11,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,2100;400;20,,4,,,,300,,,92,,,1100
,12,,,,,,,,,,1,,CommonOre,2200,,5,,,,325,,,99,,,1200
,13,,,,,,,,,,3,,CommonOre,2300,,5,,,,350,,,105,,,1300
,14,,,,,,,,,,3,,CommonOre; RareOre; EpicOre,2400;600;30,,5,,,,375,,,111,,,1400
,15,,,,,,,,,,3,,CommonOre,2500,,6,,,,400,,,117,,,1900
,16,,,,,,,,,,5,,CommonOre,2600,,6,,,,425,,,122,,,2000
,17,,,,,,,,,,5,,CommonOre; RareOre; EpicOre,2700;600;50,,6,,,,450,,,127,,,2100
,18,,,,,,,,,,5,,CommonOre,2800,,7,,,,475,,,132,,,2600
,19,,,,,,,,,,7,,CommonOre,2900,,7,,,,500,,,136,,,2700
,20,,,,,,,,,,7,,CommonOre; RareOre; EpicOre,3000;600;100,,7,,,,525,,,140,,,2800
,21,,,,,,,,,,7,,CommonOre,3100,,8,,,,550,,,144,,,3300
,22,,,,,,,,,,8,,CommonOre,3200,,8,,,,575,,,148,,,3400
,23,,,,,,,,,,8,,CommonOre; RareOre; EpicOre,3300;600;120,,8,,,,600,,,152,,,3500
,24,,,,,,,,,,8,,CommonOre,3400,,9,,,,625,,,156,,,4000
,25,,,,,,,,,,9,,CommonOre,3500,,9,,,,650,,,160,,,4100
,26,,,,,,,,,,9,,CommonOre; RareOre; EpicOre,3600;600;150,,9,,,,675,,,164,,,4200
,27,,,,,,,,,,9,,,,,10,,,,700,,,168,,,4700
Football,1,sc/ui.sc,icon_gear_BK_Football,TID_GEAR_TITLE_FOOTBALL,TID_GEAR_INFO_FOOTBALL,,Barbarian King;,Epic,TRUE,,1,1,CommonOre,120,FootballBounce,1,,,,365,,,35,GearFootball,,100
,2,,,,,,,,,,1,,CommonOre; RareOre,240;20,,1,,,,478,,,38,,,200
,3,,,,,,,,,,1,,CommonOre,400,,2,,,,590,,,42,,,300
,4,,,,,,,,,,1,,CommonOre,600,,2,,,,703,,,45,,,400
,5,,,,,,,,,,1,,CommonOre; RareOre,840;100,,2,,,,815,,,49,,,500
,6,,,,,,,,,,1,,CommonOre,1120,,3,,,,928,,,52,,,600
,7,,,,,,,,,,1,,CommonOre,1440,,3,,,,1040,,,55,,,700
,8,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,1800;200;10,,3,,,,1153,,,58,,,800
,9,,,,,,,,,,1,,CommonOre,1900,,4,,,,1265,,,65,,,900
,10,,,,,,,,,,1,,CommonOre,2000,,4,,,,1378,,,76,,,1000
,11,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,2100;400;20,,4,,,,1490,,,88,,,1100
,12,,,,,,,,,,1,,CommonOre,2200,,5,,,,1603,,,101,,,1200
